Gene	S00022	S00050	S00472	S00501	S00827	S00830	S00836	S00837	S01453	S01494	S01556	S01563	S01698	S01728	S01792
PDE6A	0	0.893867	0.512728	1.17305	0	0.176485	0	0	0.333433	10.3346	0	0	0.644444	0.387421	0
PDE6B	2.25463	7.22164	2.36019	1.59604	1.2481	1.33499	1.32577	1.5056	0.584975	16.714	0.223257	2.81885	1.04196	22.9681	1.04853
PDE6C	0	0	0	0	0	0	0	0	0	1.64506	0	0	0	0	0
PDE6D	18.9639	17.1968	22.3185	14.8128	19.5708	10.4604	14.6885	15.5015	23.2935	19.4473	8.34106	16.0245	19.1226	22.9923	16.2995
PDE6H	0	0	0	0	0	0	0	0	0	572.571	0	0	0	0	0
PDE7A	33.4682	29.0995	12.0909	13.781	22.2507	19.2117	27.398	12.3154	22.3817	28.7838	11.479	22.3101	26.0638	13.5851	26.3173
PDE7B	0.319833	0.736115	0.239598	0.460106	0.133928	1.06145	1.83296	2.27845	1.00678	0.305025	0.911103	0.648143	0.332609	1.07513	2.31242
PDE8A	0.266381	0.344509	2.82233	0.116377	2.24907	0.858097	0.164812	1.40288	0.112435	0.210287	0.171034	0.207832	0.092321	0.783713	0.123057
PDE8B	0.646333	0.306811	0.133697	6.16058	0.313557	0.898268	0.245617	0.421042	0.179985	0.031843	0.51776	0.044815	0.080986	0.204373	1.22357
PDE9A	0.238285	2.00E-06	10.5183	3.71902	0.418277	0	0.078153	0.188177	3.39735	3.91824	0.21131	2.01566	1.0057	5.25751	0.408734
PDGFA	0.008202	0.008262	0.051312	1.25671	4.90E-05	0.012921	1.20262	0.133496	0.002834	0	0.004958	0.404873	0	1.11386	0.656178
PDGFB	1.16631	1.60279	3.06472	3.11654	2.4806	2.78685	2.13104	1.7989	2.53782	0.677024	5.49956	1.75705	2.33166	1.90765	5.52926
PDGFC	0.956551	12.9198	3.78616	12.5749	4.21837	11.8909	6.17333	8.76564	4.07025	1.21228	1.75632	11.5838	7.574	10.6081	15.2692
PDGFD	2.65048	0.516113	5.06254	0.62209	1.10711	3.00274	1.15313	1.30223	11.9894	3.67677	1.19795	0.715402	0.903786	0.223597	6.6161
PDGFRA	0.270378	0.908872	3.06473	7.17706	3.45538	12.792	3.62941	10.3474	4.29289	1.3776	0.621972	7.2265	10.7429	6.32716	4.84673
PDGFRB	8.01189	10.1808	33.1694	22.0708	23.0615	29.4654	25.0667	24.1302	29.7705	14.5575	16.5016	29.9175	29.732	43.5079	78.8786
PDGFRL	0.094446	0.141806	0.12751	0.101199	0	0	0.000258	0	0.143073	0.106058	0	0	2.00E-06	0.097057	0.041921
PDHA1	27.1864	32.0261	26.9965	26.8733	34.4668	19.7043	23.7536	24.2431	34.7434	138.945	28.2311	20.1245	28.7039	23.7906	26.2201
PDHA2	1.25099	1.70028	1.55454	0.959954	2.31778	1.02664	0.817218	1.44808	0.555025	3.31998	0.401593	0.504918	0.500575	0.893925	0.540959
PDHB	19.3736	24.8753	23.5863	58.5927	36.0143	34.4889	27.2449	31.7896	28.5651	41.4766	45.7762	37.2332	35.8785	31.2648	35.4246
PDHX	16.2889	18.788	19.1049	10.321	18.0658	7.48146	19.8224	16.2871	19.7993	27.2365	22.0973	14.2119	14.7641	11.9353	14.888
PDIA2	5.26965	0.440218	0.689209	0	1.22663	3.22927	0.181121	0.382886	2.07232	1.09349	7.58205	1.34734	2.48754	3.59255	0.410007
PDIA3	72.267	64.3682	30.8781	42.2151	49.7905	54.3762	54.6874	58.7291	33.8358	58.0244	32.2898	33.0887	30.9361	50.8137	39.6472
PDIA4	60.3371	64.0065	68.685	97.6993	84.1946	73.6943	73.7072	47.8764	54.9859	134.054	42.8585	66.6809	49.1353	117.448	83.7848
PDIA5	9.57828	7.68988	9.7504	13.0405	13.6165	10.5974	14.9294	9.97502	20.8506	61.086	4.15828	11.2251	11.3862	15.2269	8.71656
PDIA6	176.061	88.2782	87.6957	99.0846	110.127	112.648	114.664	59.0554	74.9543	119.882	64.4839	61.6836	68.6864	147.685	68.5789
PDIK1L	25.3552	13.4157	7.2956	6.94335	12.3968	8.08432	16.1886	9.66473	10.8397	7.5678	12.0285	7.81772	7.41174	15.032	16.188
PDILT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDK1	11.6906	8.51035	11.5044	14.2578	20.1808	8.73153	15.6676	8.54262	8.88159	11.1115	6.21388	8.99704	3.58597	6.51636	4.52193
PDK2	15.7994	20.2448	15.9958	22.7937	6.3491	17.5832	8.59037	15.5688	21.3724	19.6559	20.2656	16.7302	13.4879	26.6184	17.0463
PDK3	11.2562	9.30306	6.61832	12.9577	7.70677	6.90777	6.78738	11.8792	28.9071	26.7558	1.45174	7.77107	7.10488	6.47713	5.32648
PDK4	5.24324	6.96909	20.4552	21.1969	6.15987	12.1136	8.47856	22.3845	11.3401	2.47315	3.13779	6.95741	7.31241	7.96148	14.8925
PDLIM1	33.9372	41.8312	33.9641	144.265	76.1537	93.3456	51.2502	118.881	40.2752	165.061	90.7874	77.8385	108.093	107.436	80.1568
PDLIM2	1.55357	0.72275	2.4727	0.818488	4.60952	0.092528	0.534406	3.65793	0.33789	0.038813	0.020506	7.93902	2.20573	3.66516	0.391824
PDLIM3	0.002266	0.016629	5.5343	0.16325	0.2874	0.013124	4.72433	0	0.13304	0.008592	0.006731	0.002343	0.001552	0.184453	0.004026
PDLIM4	0.754854	0.323849	2.18217	2.57819	2.4078	2.73126	2.6945	6.72411	4.52689	9.0037	0.634251	4.13624	3.15678	7.2107	2.6767
PDLIM5	4.79724	4.718	15.2088	17.4332	9.41544	14.0112	5.56949	16.4552	10.5093	7.52569	5.60448	8.81629	9.03956	13.9581	14.2982
PDLIM7	3.67816	4.35454	5.91491	3.1855	4.32057	5.2954	10.1761	4.13077	3.45215	8.46936	8.7044	6.72303	2.75729	4.62348	6.6582
PDPK1	8.21547	17.4847	13.6808	11.6596	6.92658	9.42769	18.5779	10.1673	13.251	7.06219	11.6605	15.3637	10.6716	13.6438	22.212
PDPN	1.83131	1.87929	1.49297	2.52484	0.358615	5.182	1.29681	4.83268	0.087589	5.68701	0.069659	1.94423	2.20603	0.866603	2.38439
PDRG1	36.215	20.7729	29.34	15.9597	32.921	18.0918	26.8709	22.1923	41.3291	45.7742	50.4392	20.7453	29.7389	35.1987	38.4663
PDS5B	15.2991	17.7124	5.39789	11.1949	14.4549	5.42979	6.08563	10.0807	7.60771	7.0299	6.8983	6.08403	8.92532	4.7096	9.49605
PDSS1	0	0	0.115475	0	0.50436	6.00E-06	1.43823	0	0	0.040074	0.583261	0	0	0	0.000124
PDSS2	5.64136	6.74005	4.9386	6.14011	6.40697	5.1298	4.39387	3.65253	4.54298	1.92289	7.80081	5.39311	3.67671	8.62971	5.05199
PDX1	0.776976	2.82302	0	0.761465	2.00185	0	0.668897	0	0	0	0	0	0	0.271627	0.510975
PDXDC1	9.25332	22.1614	10.8787	15.1126	9.61087	9.70683	16.8461	17.071	20.9397	7.21078	23.9857	20.4067	5.94242	19.0318	23.3035
PDXK	5.38517	2.94591	12.8551	0.544845	7.0548	5.19506	5.95541	2.99005	0	3.88725	0.267168	7.08764	0.000843	4.86607	4.0748
PDXP	34.8642	36.0672	46.3177	10.5395	45.2616	19.1676	19.4512	7.19302	36.712	30.1563	37.0958	18.1982	18.8939	12.8286	35.2793
PDYN	0	0.634873	0	0	0	0	0	0	0	0	0	0	0	0	0
PDZD11	17.7268	12.4929	10.9094	12.0739	11.6211	7.28681	11.4948	7.17134	11.5922	28.5189	13.4688	7.29804	9.10325	14.4652	12.7479
PDZD2	0.356598	0.959997	0.559227	10.6723	0.311272	0.565165	0.762796	1.02264	0.00011	1.44214	0.000338	0.000683	0.389811	0.000547	0.00112
PDZD3	0	0	0	0	0.041279	0	0	0	0	0	0	0	0	0	0
PDZD4	6.1572	20.1055	12.2583	1.14472	11.5846	4.58663	3.49056	0.168194	4.9926	9.21457	22.7706	0.472117	3.08866	11.7766	24.5854
PDZD7	0.730335	1.12776	0.60334	0	0.358722	0.832863	0.194432	0	0.912791	1.05728	1.10099	0	0	1.00597	0
PDZD8	13.448	8.12792	8.17658	12.343	10.9694	8.64633	8.62726	9.16763	16.4522	12.7603	16.8726	11.6308	12.636	13.5933	10.5558
PDZK1	0.158298	1.27433	0	0	0.169552	0	0	0	0.12532	0	0.133265	0	0	0	0.464039
PDZK1IP1	0	1.78788	2.61769	9.90543	0.419538	1.22483	6.79875	8.9991	0.362238	0	0	6.89546	4.57704	14.5894	12.7028
PDZRN3	19.9159	9.52532	9.55703	22.4267	21.9105	6.49504	6.09865	9.47038	9.2008	0.780436	12.0281	4.75072	11.009	3.38632	11.5101
PDZRN4	1.54916	0.555515	0.053853	0	0.641091	0.893869	0.218706	0	1.75107	0.034152	0.000284	0.002752	0.001372	0.000567	0
PEA15	23.9457	37.3464	23.6028	59.4747	37.346	55.0572	28.5664	34.7576	53.6668	108.416	39.0758	62.7517	53.2229	49.1292	78.7537
PEAR1	0.933464	1.1101	1.2194	0.508015	0.944173	1.45092	0.995742	2.99396	1.17629	0.554761	1.10291	1.73324	0.64623	0.752995	6.26354
PEBP1	278.059	159.442	173.78	171.878	254.559	171.366	215.786	214.236	171.436	145.622	253.99	183.912	156.505	153.498	87.4358
PECR	5.40981	5.46746	6.89079	6.00087	5.51609	3.18222	6.1422	5.90835	5.23011	5.97303	3.14341	4.6647	3.86698	6.26652	4.84727
PEF1	89.519	52.3577	64.5933	44.3091	37.8799	28.6705	55.5069	33.1929	69.5157	70.5598	48.0038	73.3491	60.6458	57.2172	47.0941
PELI1	9.81568	16.2167	8.47817	17.9525	22.84	16.2317	14.7109	26.7056	26.41	13.0496	14.0412	15.0964	11.5582	24.6798	12.1241
PELI2	12.9603	2.71057	16.8421	12.8076	12.246	9.99719	11.8651	17.7888	8.89408	9.36972	26.0395	4.50709	7.7128	13.0241	11.08
PELI3	2.73134	5.36102	7.96053	3.50309	6.12378	3.57042	4.75566	2.26797	8.37033	11.0546	1.77517	4.08789	3.3602	3.77108	5.13688
PELO	3.46243	5.65196	2.73521	5.82617	5.80802	4.62137	6.24268	2.52447	2.68226	3.64186	1.52154	5.1678	3.63568	3.41552	9.1602
PEMT	14.7169	8.18353	19.0623	55.0945	22.3214	12.9026	13.3836	8.19842	35.3543	24.7127	69.2823	22.1068	30.3042	11.9683	18.3683
PENK	0.753019	13.7632	0	0	0	0	0	0	0	0	42.5969	0	0	0.578856	0.741429
PEPD	0.779054	3.68873	16.9388	11.5742	4.78078	7.43561	9.82353	3.68662	11.786	23.1595	7.16024	19.2553	41.9477	16.681	13.5357
PER1	4.3357	4.78207	5.95708	4.24319	5.60053	3.86462	7.93363	6.44783	8.75654	2.31344	0.717055	7.89996	6.50829	4.63585	14.143
PER2	3.9733	9.16048	7.96174	4.13212	6.02092	3.99202	3.52881	5.31399	7.41991	1.87206	4.91972	4.49872	4.87572	5.6274	4.83977
PER3	25.8901	19.0993	10.6485	6.88032	4.07243	9.61354	11.061	6.20239	13.3671	5.68988	4.69862	8.97144	5.04226	11.4801	12.3759
PERP	235.126	82.6256	225.326	214.239	221.665	29.3612	186.654	218.235	445.206	138.738	76.8568	205.506	202.348	185.297	162.277
PES1	26.4175	12.1157	20.6011	21.1861	15.9756	13.2544	13.4053	14.9938	18.3324	45.8562	24.5993	21.0901	33.2452	12.4627	24.7253
PEX1	4.54629	6.66454	5.55987	6.09541	9.75834	5.8625	7.05966	5.79135	6.39389	6.63289	8.54593	9.17042	5.44979	7.71714	6.67563
PEX10	41.5695	21.4958	26.7967	20.8296	18.6941	24.2495	37.7266	32.2716	26.8071	38.7108	29.0847	27.5504	19.8759	26.0253	23.948
PEX11A	5.66532	3.21407	4.95909	1.84748	3.14577	2.93639	3.97895	4.04765	7.26126	8.96851	2.94869	4.18664	3.15221	4.00215	5.74879
PEX11B	18.1415	22.7678	24.1397	19.8201	17.6061	17.1281	23.1197	19.6042	21.1296	21.0511	26.9863	24.4991	22.7197	23.3957	21.3509
PEX11G	2.88799	2.97784	1.11893	3.55113	2.73946	3.14957	2.25423	2.96903	2.15797	2.47938	2.8177	5.0636	3.93102	6.32906	5.64769
PEX12	3.49546	3.31306	1.92415	3.10447	2.38009	3.23212	2.11055	4.0762	3.6861	3.56425	6.08486	3.48159	2.79362	3.33133	4.05233
PEX13	6.2343	8.68533	2.27296	14.0576	9.18877	9.91969	12.1692	12.5675	16.6391	7.92025	12.6971	9.6456	5.9798	10.239	5.3823
PEX14	31.2617	16.8574	19.0482	11.3295	12.1232	13.1807	18.7807	11.4192	15.1554	20.8044	17.8435	14.3089	12.3996	20.0746	17.5686
PEX16	8.12001	9.09578	14.1823	6.38726	7.75896	3.99666	9.82289	11.385	5.62807	9.59568	10.8853	4.6052	9.74112	5.14265	4.8997
PEX19	22.254	24.5686	21.6254	20.5347	16.3954	15.2742	20.995	24.2617	27.6503	28.3841	23.2206	25.7614	19.551	23.9018	29.6727
PEX26	12.1484	16.0913	19.9304	14.8021	17.5358	10.1966	11.1546	14.4411	9.03211	13.0647	10.6742	17.2809	9.1672	7.02198	12.5228
PEX3	4.45497	5.03216	3.92546	3.66597	5.50919	4.1381	3.11218	5.92082	3.14796	2.68309	8.5456	6.29844	5.98777	6.01692	5.79974
PEX5	0.146747	0.896732	0.061907	1.56995	0.763185	0.435003	0.729387	0.41129	0.801769	0.95398	1.03864	0.920077	0.81786	0.916227	0.029669
PEX5L	38.5364	15.0846	17.8293	22.5145	6.81016	3.27827	7.16848	0.055797	13.5719	60.7266	3.89494	10.4199	8.07144	13.2336	5.42596
PEX6	13.7496	7.51593	10.7351	11.3068	8.41479	17.2951	18.9131	7.73766	10.7161	11.1911	15.0797	14.1433	9.12235	22.3835	7.00663
PEX7	4.76823	6.88254	3.95171	5.51986	4.06769	3.33232	4.02122	9.99293	4.94668	3.26536	8.16094	8.24002	4.51596	7.26294	4.91241
PF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF4V1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PFAS	4.85986	5.27021	6.74253	5.54695	10.7995	5.70092	9.5027	6.33648	7.27173	8.28859	10.9171	10.7374	8.28089	5.38392	5.57373
PFDN1	29.4217	39.7652	44.8034	30.5059	22.3602	20.8477	30.9196	21.4829	22.7759	20.5584	22.0872	21.4831	32.1625	25.8624	24.8591
PFDN2	96.1957	107.148	72.7447	61.7111	57.1088	54.3707	73.1643	101.296	65.1748	107.465	117.341	91.3488	85.6484	95.4173	91.8109
PFDN4	10.4277	12.4442	8.34967	6.34079	14.7734	7.86591	7.98029	14.1941	10.7976	12.1425	41.8233	10.9339	12.2842	17.6506	17.1373
PFDN5	94.4787	69.1977	125.558	144.011	153.385	106.112	140.528	103.93	157.049	101.61	91.0631	127.145	182.656	139.492	43.6303
PFDN6	31.3992	21.7805	30.5426	18.634	32.5054	26.687	39.8242	41.4386	17.176	19.0886	76.3961	38.7319	16.4076	24.9262	28.6982
PFKFB1	0.219451	0	0	0	0.198068	0	0	0.192786	0.229561	0.364019	0	0	0.30459	0	0
PFKFB2	81.3059	17.3002	5.79866	10.7701	3.38749	9.81704	4.13778	5.13906	5.4901	3.3201	7.58911	25.736	24.7533	12.2877	56.7136
PFKFB3	0	0.012938	0	5.7965	2.50268	18.2065	6.27116	1.9774	0.833483	2.95933	0	1.63473	6.69465	0	0
PFKFB4	1.05448	3.07682	6.23708	6.34487	4.52945	4.99201	2.36061	2.25555	2.65904	4.04762	4.13567	3.01954	4.20678	6.94555	3.48539
PFKL	82.3577	102.467	82.886	77.5236	68.3255	56.3152	65.4274	57.7972	39.8043	102.004	28.0993	62.4251	77.141	92.992	52.1126
PFKM	18.23	8.48353	26.756	21.1388	20.7601	25.3166	14.9334	12.9074	16.5822	79.9163	12.3829	11.4123	6.63686	26.5684	6.11321
PFKP	78.5132	48.0554	108.387	70.1314	66.827	43.3896	68.4754	232.136	52.3604	39.1947	107.507	33.9392	72.0608	59.8779	23.3778
PFN1	342.343	243.419	372.951	544.344	640.326	454.503	460.254	720.259	269.493	486.163	960.279	574.531	445.03	344.421	413.155
PFN2	319.028	499.717	258.544	214.266	127.129	192.663	299.75	124.278	446.282	163.089	178.019	163.492	194.041	249.029	256.523
PFN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PFN4	0.714672	1.13688	0.851001	0.526385	0.220976	0.544122	0.711532	0.349916	0.265397	0.871785	0.460777	0.549928	0	1.25425	0.604927
PGA3	0	0	0	0	0	0	0	0	0	0.345843	0	0	0	0	0
PGA4	0	0	0	0	0	0	0	0	0	0.364136	0	0	0	0	0
PGA5	0	0	0	0	0	0	0	0	0	0.56687	0	0	0	0	0
PGAM1	26.459	17.3276	39.9041	63.6915	31.8223	37.1785	33.7835	35.5953	43.9603	94.474	41.7275	45.6127	39.6097	44.5675	32.4186
PGAM2	13.9443	11.7755	32.8928	2.38691	11.5428	21.167	12.1639	4.14343	5.6327	6.55033	4.68977	18.9824	10.6248	25.0378	5.97024
PGAM4	6.51025	2.98531	1.662	5.34007	7.07037	8.25878	6.78711	7.70692	3.68496	10.0745	2.26167	4.01217	4.37882	3.73953	1.34071
PGAM5	23.6661	24.0605	26.5395	18.485	32.6857	12.9326	28.7361	30.5219	18.8362	28.6676	22.7195	14.8025	15.0237	19.0468	13.7129
PGAP1	12.8298	23.765	17.7017	5.99434	21.9605	13.9999	15.0967	8.97293	10.5796	4.07803	7.21061	15.0554	9.67855	10.0658	21.2022
PGBD1	1.45937	2.66147	5.92757	1.68131	3.53953	0.720158	3.35059	2.02095	3.5466	0.961639	1.40846	2.99068	2.0813	2.56997	1.58236
PGBD2	2.80841	3.07226	2.84589	0.444082	2.34314	2.27351	1.27419	4.05227	0.992298	1.96312	3.72871	5.22059	3.70354	3.50972	10.5347
PGBD4	1.7312	1.42727	0.59061	1.21266	0.646935	0.933119	0.620634	1.36028	1.4801	1.45786	1.31179	1.79694	0.808319	0.661967	1.45867
PGC	0	0	4.32865	3.43603	0	0.487143	0.883632	4.48944	0	0	0	31.2985	4.85788	1.89819	0
PGF	6.47111	24.2453	28.8253	7.61932	14.3255	23.6514	4.67669	2.39534	4.11558	14.7274	5.96103	3.56694	13.6459	5.61543	11.1001
PGGT1B	2.48416	2.92139	0.423692	2.0961	2.51996	1.57362	1.62663	2.05667	0.793006	1.05408	5.58007	1.70492	2.15675	1.89598	2.32065
PGK1	209.989	100.532	196.025	192.79	227.19	168.863	170.505	166.394	115.121	354.856	147.592	105.107	187.6	148.47	121.526
PGK2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGLS	23.1183	38.213	42.8948	41.5306	36.4772	23.6912	31.3601	25.8517	30.1228	42.3673	25.8387	38.249	80.9399	51.2199	62.8879
PGLYRP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGLYRP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166316
PGLYRP3	0	0	0	0	0	0	0	0.284821	0	0	0	0	0	0	0.437123
PGLYRP4	0.100188	0	0	0.277051	0	0	0	0.325769	0	0	0	0	0	0.188742	0.38204
PGM2	10.4592	11.4275	3.30602	9.2271	8.65657	6.70072	11.4551	15.2709	6.68656	4.7532	8.433	11.0187	4.01197	9.77932	7.59054
PGM2L1	4.31064	7.42396	6.29561	9.78937	7.41686	6.18858	11.0239	11.5423	10.5944	1.55603	3.13911	7.09085	13.1765	9.55041	9.175
PGM3	13.1336	6.46107	5.77726	10.5428	13.0116	5.18422	7.89673	5.09739	14.3872	16.7036	6.59825	6.24587	16.1207	7.91902	7.8106
PGM5	0.054885	0.040714	0.081925	0.009343	0.008799	0.032145	0.033801	1.07443	0.013937	13.1475	0.006011	3.36669	0.003212	0.019975	0.450144
PGP	10.0571	19.2207	20.1448	10.9069	16.8976	11.3214	20.5711	13.1514	9.30415	11.6616	11.4286	12.1061	11.703	13.5849	11.359
PGPEP1	4.51872	9.65211	9.01508	7.27981	6.94899	4.2332	3.91406	2.5514	5.17036	1.42226	3.54055	5.30062	6.53146	6.92057	7.04176
PGR	0	0.717728	0.379738	0.059514	0.135836	0.025772	0.076756	0.093609	0.104789	0	0	0.164541	0.089852	0	0.026316
PGRMC1	47.4357	94.0849	43.2546	62.6839	67.828	50.8984	53.2512	74.2791	64.2454	125.096	95.5982	68.3624	59.674	85.8542	66.9055
PGS1	24.3433	9.71466	9.8601	15.3968	12.999	9.90193	17.8064	10.9347	17.1763	13.6926	18.2322	22.1436	18.1327	26.0491	11.5469
PHACTR2	7.87662	4.33927	4.68174	1.7718	6.4066	3.81331	3.86802	10.7286	1.11481	6.58863	4.7064	8.14867	6.87144	2.19699	6.03568
PHACTR3	6.17338	0.571868	0.271963	0.754102	2.47849	0.183271	0.301615	0.143051	0.208058	0	0	0.089024	0.335388	1.34419	0.892276
PHACTR4	10.1491	2.50947	0.006555	0.012883	3.82557	1.30257	3.39436	2.96515	0.063316	0.044327	0.253373	0.240556	0.585456	0.11412	1.52292
PHAX	16.133	21.3272	18.4672	16.0173	14.8534	10.7991	15.9223	15.835	11.4671	8.59635	14.8815	11.4852	13.5107	11.701	16.4596
PHB	40.6185	46.0198	48.0393	73.265	37.6457	37.3405	43.8463	45.1326	39.2762	63.721	82.9729	47.403	55.6113	50.9979	53.4454
PHC1	8.24281	20.1894	5.87439	5.22817	11.5209	9.40388	8.23118	7.42204	10.7977	11.5402	5.72241	8.21706	6.56637	5.57819	6.6874
PHC2	130.993	91.8565	105.759	59.1285	41.9285	68.3078	77.1956	53.9767	78.5905	106.407	53.3413	102.023	87.0716	88.9165	82.3307
PHEX	0.312677	0.72901	0	0.408433	0.294033	0.764666	0.991917	0.194255	0.241093	0.323926	0	0.333789	0.587111	0	0.462991
PHF1	24.7805	37.5621	33.2782	16.2776	20.3241	21.0397	22.4648	16.4021	15.9506	7.22881	14.0437	19.0603	14.6887	15.0277	12.2576
PHF10	17.7243	20.996	25.0599	16.5511	14.8274	23.9939	11.2585	18.0142	17.0429	12.3075	11.1261	18.4253	26.0646	14.7929	4.2818
PHF11	0.229696	0.996924	1.52184	1.53474	2.19847	3.12763	1.3929	2.61764	0.442651	1.7212	0.750875	2.43765	1.74434	1.79008	1.35316
PHF12	20.7127	18.6818	19.5929	15.4312	13.8393	16.4925	17.874	13.1035	16.4268	14.4539	21.428	17.9138	14.1486	21.6792	22.6199
PHF13	37.4253	26.1969	25.3917	13.8108	16.6714	13.7536	23.2426	17.1203	20.7155	10.8409	14.3218	20.4547	16.0259	19.4408	27.021
PHF19	12.6156	23.6068	37.8509	35.4983	43.6729	7.35417	26.8463	16.8983	27.3787	244.301	31.6986	20.8805	31.0841	43.3479	19.5038
PHF2	25.7434	49.7635	28.2786	22.7126	46.3926	17.7978	24.8097	12.2624	42.5291	18.9047	11.7687	24.9835	14.8501	34.873	28.005
PHF20	15.6165	16.5778	13.9731	10.4395	13.3595	10.1699	10.7334	10.9324	10.8341	12.0841	14.3213	14.8065	13.0028	13.2937	16.636
PHF20L1	1.12352	5.6378	0.628782	1.68698	2.81448	0.703102	1.53498	1.94591	5.79572	12.1715	3.17821	1.52492	2.54813	3.89204	2.41662
PHF21A	6.63078	8.07278	8.35254	2.36181	7.21808	2.57593	5.0676	0.554914	8.34613	6.97833	7.85645	1.99268	2.57807	3.17177	4.04584
PHF21B	0.649864	0.404745	2.60097	1.83396	0.20161	1.17832	0.967857	0.256476	1.13342	12.7745	0.515143	0.584103	0.243867	0.011172	0.608708
PHF23	8.06224	6.50978	8.46809	10.5984	10.4474	9.74186	9.88121	10.0292	8.41544	17.1076	17.6976	14.5201	7.4988	9.88905	11.2626
PHF3	15.3318	13.0864	14.3912	13.6468	15.8626	14.7635	19.5266	14.3936	17.231	5.59016	18.7556	25.3464	11.279	13.9297	19.4498
PHF5A	30.9996	17.072	31.5456	23.8239	30.7952	18.2685	28.7984	24.8039	39.2749	41.6886	34.9947	30.6921	23.3965	17.2624	26.3362
PHF6	16.0982	16.9464	12.7389	16.9313	14.0239	9.44571	12.1101	14.4891	10.3868	16.4487	10.6199	17.312	18.047	12.9988	16.9363
PHF7	2.30135	2.56752	2.2357	1.55381	2.47309	2.44465	0.605715	0.590611	0.902651	0.883951	0.356954	0.382903	2.14813	1.07473	0.534757
PHF8	9.63995	5.06652	5.49028	2.78719	4.12493	5.35835	3.98989	0.271219	9.43301	12.4857	2.95114	0.000694	1.76143	7.52418	6.50602
PHGDH	78.0102	71.1618	67.8668	63.8889	166.377	30.9879	103.326	123.854	279.826	198.816	193.123	45.0492	81.0572	51.4967	117.573
PHIP	22.3968	30.7396	26.8238	12.333	30.503	20.5217	26.4562	19.7771	23.1865	6.27505	17.2456	25.126	17.7333	18.6435	20.7606
PHKA1	0.018134	0.032683	0.045585	0.017914	0.011629	0.040089	0.022113	0.019	0.017963	0.007244	0.00758	0.015269	0.0197	0.016141	0.015422
PHKA2	11.6967	6.81926	5.86682	4.9738	8.75872	5.93269	8.89769	7.52264	20.1125	20.1173	4.40723	7.3329	8.85677	8.69354	9.53051
PHKB	9.87157	10.7113	6.23383	9.17337	5.66991	10.7993	14.2014	13.5786	17.555	4.51024	27.2412	17.2699	10.1453	17.3671	12.1005
PHKG1	5.48856	4.47877	0	3.2437	5.01744	0	4.03937	0	0.063298	0.107481	0.001424	6.66394	8.38418	7.10357	7.59381
PHKG2	8.85298	18.4088	18.3549	15.1426	13.5478	17.0325	16.8436	17.1064	16.1682	10.1251	17.9441	20.2665	14.5635	25.028	18.4042
PHLDA1	4.19525	15.5893	6.25153	71.8703	12.783	24.0446	11.0236	15.2209	16.666	2.59686	16.5772	10.4664	19.7226	8.03017	12.5591
PHLDA2	6.08155	23.4576	33.4197	17.1157	9.09242	3.57406	7.08848	12.279	5.31999	1.2207	47.3602	8.63725	19.5092	6.27332	8.65049
PHLDA3	4.55982	4.8229	6.11436	5.09854	7.9494	4.49291	5.19631	6.53824	8.84711	9.66058	5.98811	14.4776	12.4124	9.33541	9.19876
PHLDB1	0.231569	0.116117	0.510114	0.150643	0.748877	0.593625	3.00E-06	0.102655	0.321933	3.50E-05	0.034195	0.347771	0.248555	0.116704	0.300398
PHOSPHO1	0	0.159443	0	0.186329	0.930942	0.372075	0.502822	0.379504	0.224307	2.13743	0.488852	0.571898	0.203002	0	0.654939
PHOSPHO2	2.08977	3.71691	2.15412	1.17224	2.77618	1.37488	0.672067	1.05715	1.26864	1.20186	1.43658	1.11566	1.13337	1.58939	3.01343
PHOX2A	0	0	0	0	0	0	0	0	5.62233	3.82264	0	0.403376	0.501312	0	0
PHOX2B	0	0	0	0	0	0	0	0	0	72.41	0	0	0	0	0
PHPT1	46.1714	121.183	132.089	80.7489	86.5232	56.3561	96.2753	42.7953	80.2898	88.2454	167.322	47.6301	61.7352	69.4375	120.666
PHTF1	3.54091	4.21245	7.43006	4.15971	0.797652	2.59355	6.06325	0.571184	8.32509	10.5959	2.0811	0.225865	2.68115	4.01025	0
PHYH	10.0037	16.8619	16.0236	10.3815	9.44803	17.5744	9.03	8.57639	10.1282	12.4986	9.63445	11.325	10.8912	17.1725	10.9883
PHYHD1	0.064389	0.408477	0.285402	0.249384	0.305871	6.17687	0.852397	3.24285	0.056392	5.19458	0.321157	2.8512	3.13417	12.6386	0.712808
PHYHIP	0.51462	2.34405	0.265013	0.121886	1.61462	0.836084	0.803586	0.070909	0.595592	0.721435	0	0.436268	0.319684	17.3175	0.316264
PHYHIPL	15.7982	14.8144	14.2266	14.4931	37.4917	8.89832	14.5318	0.144552	26.2185	14.5729	4.65454	0	0.000433	6.306	9.64377
PI15	3.92699	1.54266	2.45689	0.63522	1.43403	0.356141	2.63945	1.72687	3.31277	0.202392	1.5264	0.620125	1.67861	0.545779	2.07778
