Gene	length
SNTG1	886897
PXDNL	489869
ST18	299048
RGS20	107509
TACC1	124447
GOLGA7	20585
GINS4	15770
DNAJC5B	86266
CRH	2089
TRIM55	48357
ADHFE1	36404
MRPS28	111543
PMP2	7114
LACTB2	31920
PRDM14	19602
TERF1	39260
RPL7	3828
SLC26A7	188660
PSKH2	22560
ATP6V0D2	55316
SYBU	117623
DPYS	87625
MTDH	86077
LRP12	99794
EBAG9	26297
RSPO2	184305
POLR2K	3368
MAL2	37312
EIF3H	113694
UTP23	8161
NDUFB9	10885
TATDN1	50595
FAM83A	31033
GSDMC	38429
FAM135B	367708
ZNF7	19949
ARHGAP39	156669
SLC39A4	4431
VLDLR	38270
AK3	32488
UHRF2	93856
NFIB	450229
CER1	3010
PLIN2	11732
IFNA5	700
HAUS6	49764
CDKN2B	6411
IFNA16	939
CDKN2A	27573
C9orf72	27321
IFNK	2185
ZCCHC7	237678
FBXO10	65489
SIGMAR1	3105
CBWD5	58208
CEP78	43616
NTRK2	358613
SHC3	173048
AUH	148155
OR13C4	957
ZNF462	150469
UGCG	38556
ACTL7B	1399
SNX30	124228
STOM	31317
GSN	131360
MRRF	66456
NR6A1	254037
CRB2	22557
OR5C1	963
ALAD	15027
ASTN2	991945
WDR31	27054
POLE3	3515
SURF4	16496
GBGT1	10967
SURF1	4751
SURF2	4609
SURF6	7414
MED22	9838
REXO4	12111
RPL7A	3209
GTF3C5	27829
ASB6	7566
PTGES2	7770
CIZ1	38158
SLC25A25	41059
SH3GLB2	20562
PTGES	14694
LCN2	4001
LRSAM1	52016
GPR107	86464
IDI2	6950
INPP5E	11227
LCN9	2782
SEC16A	43664
NOTCH1	51616
CACNA1B	246838
NACC2	88753
USP6NL	157705
COMMD3	3919
MSRB2	26435
PDSS1	49375
FAM171A1	159647
SLC39A12	91454
RSU1	226839
ST8SIA6	139175
PARD3	705766
ANKRD30A	106711
ZEB1	211387
FAM13C	117051
NRBF2	21785
A1CF	86267
CDHR1	25085
LRIT1	10027
RGR	14908
POLR3A	54367
HERC4	153379
CAMK2G	62091
GLUD1	44642
ANKRD1	9176
HTR7	117217
RPP30	36583
ADD3	139193
HABP2	38772
VAX1	9751
DNAJB12	22085
EIF4EBP2	24474
NPFFR1	36676
TCF7L2	217432
MKI67	29765
CYP17A1	6883
INA	13209
LRRC27	49316
MTG1	28364
NKX6-2	2967
PAOX	12433
GSTO1	13271
TAF5	21090
PPRC1	17340
ITPRIP	28766
CNNM2	171929
PDCD11	49669
ADAM12	376087
RGS10	42903
BTBD10	75302
ADM	2325
GAS2	146445
SLC5A12	55041
LIN7C	12352
LRRC4C	1345444
IMMP1L	77222
SAA4	5448
PGAP2	28648
TUT1	16472
SCGB1A1	4163
SYT8	3095
ZNF214	23262
ZNF215	56969
HSD17B12	175878
APIP	34085
PAMR1	98475
DGKZ	47626
EIF3M	22434
TNKS1BP1	25311
GLYAT	23187
SERPING1	17164
OR5F1	945
SSRP1	9905
SLC43A1	31169
PTPRJ	190281
C11orf49	227625
ARFGAP2	12828
CELF1	87196
CCDC81	48374
SESN3	66963
ENDOD1	42800
CCDC82	37155
KLHL35	8237
SERPINH1	10559
CAPN5	59184
INTS4	115949
PAK1	152049
RPS3	22785
ZC3H12C	78449
TTC12	51805
NCAM1	317017
DRD2	65794
HTR3B	41766
NPAT	65424
ATM	146268
AASDHPPT	21034
GLB1L2	44451
P4HA3	44984
GRIK4	477060
ST14	50581
HYOU1	13018
GGTLC1	3727
ADAM33	14726
SLC22A8	23022
MTA2	8652
TMEM138	7136
FADS1	17377
TMC2	105178
ROM1	2380
EML3	10558
INCENP	29159
ZP1	8150
MS4A3	14488
PLCH2	38082
CPSF7	27328
MS4A2	9804
B3GAT3	6691
EI24	15207
CCDC15	87288
CHEK1	51120
FEZ1	53385
ESAM	9165
KIRREL3	577414
MPZL2	10882
SCN2B	13834
SIDT2	18700
TMEM25	15511
TAGLN	8172
JPH2	75882
DUSP15	23028
COMMD7	41322
C20orf144	1582
KIAA1755	50233
DSN1	21969
SPINT4	3484
CDH22	134760
LSM14B	12900
YTHDF1	20703
CABLES2	18654
GPHA2	1423
SLC22A9	40510
TRPT1	2456
NUDT22	3759
FERMT3	17212
PLCB3	17923
MRPL49	5051
CDC42EP2	7552
FAU	1505
TM7SF2	4537
TBX6	6092
PPP4C	9383
ALDOA	6448
DOC2A	8083
HIRIP3	3776
TAOK2	18394
TMEM219	10970
HMGA2	141832
MMP3	7809
CNKSR2	280272
CNTN5	1337938
KLRF1	17528
CLEC1A	29432
MKX	72946
MPP7	252072
ITGB1	57913
FXYD4	4700
TRIM48	8960
OR8K1	960
OR5M9	933
PCDH15	1806843
CTF1	6954
CWC15	10990
FCGR1A	9825
ARID5B	195246
KLHL1	407901
CDH8	389189
DCUN1D2	34893
TMCO3	59209
TMEM218	17238
TIRAP	11847
LATS2	88551
SAP18	8572
KIAA1328	396208
FAM124A	61842
MIA2	123232
HNMT	51892
LYPD1	28241
LYPD6B	176792
PDCD4	28212
ADRA2A	3879
GPM6A	369755
WDR17	116975
SPATA4	11007
VEGFC	109388
CCDC102B	339974
CD226	103526
CNDP1	52714
FSIP1	182811
DLG2	2173363
CCDC83	64921
RGS18	27354
PRSS23	20163
MTMR12	85933
PPP1R1C	145533
C11orf53	40677
CCT5	16492
DOCK1	656804
DIXDC1	85311
DLAT	38997
PIH1D2	10162
TIMM8B	1957
IL18	20835
TEX12	5185
PTS	7546
PIP4K2A	179725
C2orf50	18190
FREM2	200055
FOXO1	110975
CRIM1	195358
SEC24D	113304
ABCB9	45516
RILPL2	21695
DHX37	42306
UBC	3005
ITPR1	354493
TKTL2	2660
PRSS53	5386
SLC7A11	78253
ENKUR	80301
GPR158	427229
LYZL2	17975
CACNA2D4	126690
DCP1B	58405
CACNA1C	644964
KCNA6	41937
THRB	378556
NGLY1	71096
OXSM	4463
UEVLD	59126
TMEM86A	6007
C12orf45	31310
BTBD11	341209
UBE3B	59069
ANK3	707231
IPMK	76377
RAD9B	31226
PLBD2	33043
DLG5	135965
MAT1A	17839
SLC2A13	351057
GXYLT1	63030
TWF1	12595
DIP2C	415468
EIF4E	58954
MAGI1	685393
CSNK1G3	104947
SRFBP1	66659
AKAP6	508387
NPAS3	865295
FAM177A1	38477
MBIP	22119
MIPOL1	354425
EXT2	156304
TMEM18	13530
ALLC	44472
KCTD14	30477
THRSP	4491
NDUFC2	11566
ME3	231529
MSGN1	1339
ADAMTS12	368456
NUBPL	299821
NEK7	165423
ATP6V1G3	17724
FER	448945
ANKRD50	48685
UPF2	123149
CDC123	54402
SCLT1	209547
CCDC3	203365
C4orf33	22926
FRMD4A	687218
SLC25A31	43893
PTPRO	275824
EPS8	169255
ACAD8	12316
THYN1	5071
VPS26B	23118
NCAPD3	75348
VTI1A	408155
QDPR	25842
FAM160B1	78053
ANO4	333854
TEX9	80574
DRD3	70756
MMAA	40649
ZNF827	181197
POU4F2	3582
EDNRA	64038
NR3C2	365936
AKR1C2	30259
DPYSL4	18812
VENTX	4074
ADAM8	14446
ITIH2	46205
KIN	37032
PIGF	36105
ANKAR	70666
INPP1	28077
MFSD6	93960
RNF144A	158956
ASAP2	198919
ADAM17	67345
FLI1	126733
KCNJ1	29360
TMEM45B	44156
WWC2	221521
ACSL1	70520
SLC25A4	7117
AMN1	58038
BICD1	276787
SAV1	34727
CCDC122	43389
SERP2	24065
NBAS	394419
ZNF385D	338993
TDO2	16711
GUF1	22509
SLC35F4	302173
GABRA2	146581
SACS	104873
PABPC3	2430
CENPJ	40583
FBXO4	16463
CCL28	35747
PARP8	180589
GFRA1	216722
DST	496835
BEND6	72240
TIAL1	23565
BAG3	26450
GLT1D1	131491
TMEM132D	832300
RBM46	47542
SCHIP1	624120
MCHR2	75705
KCNE4	3708
AP1S3	82257
RABGAP1L	835788
CCDC74B	5852
TUBA3E	6695
ASTN1	307600
CFC1B	7382
FAM168B	45585
PTPN14	202903
MGAT5	334687
TMEM163	263241
HSPB8	15957
GEMIN6	6793
POU4F1	5191
CYSLTR2	57298
GRID2	1470601
ARL11	5366
RIT2	372475
SETBP1	387623
PSTPIP2	88725
HAUS1	23949
C18orf25	92968
SPC25	19540
G6PC2	8710
PDK1	52580
PTH	4131
PDE3B	228337
TCF7L1	176996
TGOLN2	9963
SH2D6	18099
KCNK13	123860
UHMK1	32456
ATG10	284111
POC5	43314
SPOCK1	524029
FAM151B	54464
TADA1	19755
GUCY1A2	344458
CWF19L2	131502
JMY	91081
HOMER1	141499
XRCC4	276352
BOLL	59434
ZNF547	16125
ZNF773	18470
ZNF776	11334
ZNF256	6874
SUV39H2	25533
DCLRE1C	56738
OLAH	29911
RPP38	7078
NMT2	62924
ZSCAN1	20607
ZNF837	13408
USP12	105656
CCDC50	69266
CAMK4	271304
TRIM36	55523
ZFP36L2	4205
PAN3	156791
PLEKHH2	130728
PFKM	41152
TMEM123	56434
GRIA4	372020
IGSF10	22720
SPEF2	196749
SPARCL1	56174
DSPP	8345
DMP1	14078
MEPE	25420
MBNL1	196852
CAPSL	34485
GPD1L	62205
GJA1	14082
CCNO	2457
DDX4	79130
CLEC4F	11957
SLC30A6	58539
PELO	16129
RASGRP3	128384
SAR1B	31680
CATSPER3	43790
GPR180	32805
TCTEX1D1	26589
WDR78	111972
ANKRD22	31949
FARP1	312588
IFIT5	6430
SLC16A12	105296
PANK1	66076
PRDM8	19060
BMP3	26925
HHEX	5693
UTRN	561298
GRM1	409895
PTPRK	551815
GGPS1	17317
CNTNAP4	283356
ZNF117	19261
RAB3C	277243
MARVELD2	29215
RAD17	45505
MED21	8152
PLOD2	92056
STK32B	449510
NRSN1	21316
JAKMIP1	174351
ZIC1	7355
CPB1	32377
LGI2	32100
CWC27	249846
MR1	28514
SRP19	37085
CENPH	20775
CDYL	249407
CARHSP1	16071
TEKT5	67430
BANK1	284206
TXNDC11	63775
DAB2	53560
ACMSD	63419
ACOXL	385976
BCL2L11	47532
ANAPC1	116554
CAST	112647
SCOC	128421
CLGN	39209
CETN3	16452
SMARCA5	43785
SYCP2L	87258
BMP6	155630
RGPD3	63666
RASSF3	87070
HNRNPU	14247
RANBP2	66328
AHCTF1	92851
MERTK	130955
TMEM87B	64046
PTPRR	282660
NR4A2	8285
CCDC148	285681
PLA2R1	130610
RBMS1	221657
SCN3A	116525
FEZF2	3870
CD96	110176
SLC25A27	25276
FRMD1	26047
FAM49B	177537
ASAP1	391571
FAM81B	59076
INO80C	29628
LPCAT1	62534
PLEKHG4B	97799
NMRAL1	14658
C16orf89	22024
ING1	9640
ADPRHL1	31544
CMTM7	63676
FBXL2	110651
UBP1	52070
RMND5A	57751
CD8A	23792
RPIA	59256
PTPRD	2298757
CNKSR3	123171
GTF2E1	40326
CFDP1	139794
TGIF2LX	976
ZDHHC7	37361
FAM92B	14115
C7orf31	45663
TMPRSS11D	63127
JAZF1	350219
CMIP	266593
SPHKAP	201733
KCNJ16	60384
PID1	247315
TRIP12	158173
FBXO36	90617
CEBPG	8978
KCTD15	18892
ZNF599	15143
MCOLN2	71531
LGI4	10547
DDAH1	259716
CHD1	74509
ANKFN1	363542
DGKE	35417
HS2ST1	195348
MSI2	428839
CACNA2D1	497513
HS3ST3A1	107898
GDPD1	55460
NUS1	35259
SEMA3D	126379
PPP2R5E	172014
ASB17	13532
GRAP	26302
SLC5A10	70431
AK5	277948
CABYR	22539
IMPACT	26862
ANKRD29	63986
CHST9	278828
THY1	9510
C16orf74	43580
TBCEL	66705
JPH3	95649
ANKH	166979
UBASH3B	158752
ROBO4	14175
ROBO3	16040
PANX3	8929
TBRG1	13063
NRGN	7269
CDH12	1102672
GPR15	2704
ABI3BP	244156
ANGPT1	248437
PITPNC1	319976
CC2D1B	15613
PRKCA	508131
LRRK1	158901
GAL3ST2	27466
ABCA9	86440
ABCA6	63194
ABCA10	96809
ABCA5	82823
ENPP3	110109
C4orf19	139586
UCHL1	11528
MIA3	49911
DISP1	190957
TNIK	401992
FAM167A	45278
NEIL2	17636
PGM5	174451
WNT3A	54274
OBSCN	170745
LONRF1	33621
TRIM11	13160
ENAH	166295
PPP1R3A	42233
ASZ1	64272
SH3RF1	176698
GBP5	13911
BUB3	16066
GPR26	31045
MMP21	9369
C10orf90	245514
PDLIM3	34899
SORBS2	370929
LY96	37751
PSMA8	59487
TMSB4Y	2126
CXADR	80674
BTG3	19249
C21orf91	30383
CHODL	350031
TMPRSS15	134670
NCAM2	544924
L3MBTL4	460554
PDE1C	644713
RABGEF1	156898
MRPL39	21826
JAM2	78305
GABPA	37489
ADAMTS1	9655
ADAMTS5	49167
TSEN2	55145
SLFN13	13671
WNT7A	63814
XPC	33526
FGD5	115610
FLCN	24957
DPH3	7883
OXNAD1	86884
PLCL2	205649
CXXC1	5980
SKA1	19123
PPP4R1	67766
APCDD1	35315
MPPE1	25696
USP43	84171
RAB6B	71648
EME1	8240
EPHB1	465208
ACSS1	51953
ANKRD40	14717
ZNF18	20072
CA10	529704
VOPP1	101890
APOOL	89439
DKK2	114512
CYP2U1	21913
FBXL18	59385
CNTNAP5	895933
PROM2	16854
ODF1	9430
KLF10	6942
PTPRN2	1048766
AZIN1	37899
ATP6V1C1	51969
OTUD6B	16752
CDK19	205878
GTF3C6	9167
TTC39B	136517
AGPAT5	52862
MMS19	40471
OR4K1	1076
PI4K2A	35749
MARVELD1	4421
ZFYVE27	23787
GOLGA7B	21736
GPR78	9632
SLC25A28	9918
HSPA13	12032
SAMSN1	98175
USP25	150139
ZCCHC10	29565
C16orf87	34578
MOV10	26435
RHOC	6277
PPM1J	5335
DBI	5584
SLC16A1	44507
HEATR3	41303
TRIM74	9982
OXA1L	6355
SLC7A7	46590
MAGEC1	5481
LARP1	134627
CNOT8	18544
GRIA1	323346
LRGUK	137255
MIER3	32529
NUP205	90837
ZKSCAN2	21845
C9orf85	74420
XAGE2	6660
PIK3AP1	127200
RBM45	17220
TTN	281435
VSIG4	18388
PDIA4	25455
PDZD9	17252
OTOA	96762
KCTD18	21111
FAM126B	97954
FZD7	3851
SPAG17	231639
FMN2	383305
RNF20	29492
CYLC2	23156
PPARGC1B	124713
ELMO1	596419
SLC26A2	26643
LSM11	16998
MED7	5442
RRAGA	1599
SLC24A2	279568
TRIM42	23087
ADCY8	260609
RASA2	128330
RMND1	47420
RAET1L	7199
SLA	65874
TMBIM4	33137
VBP1	42839
RAB39B	6257
CLIC2	58424
AFF2	500057
GRIP1	456839
VPS37A	86498
KIF5A	36590
NAT2	9937
MAGEA8	4669
PSD3	486401
GNA14	225244
FAM161B	17819
GNAQ	315715
WIF1	70680
UGT2B4	45850
GPR61	5977
MMP16	295474
ADK	558119
KCNMA1	768207
BATF	24524
DCK	37266
ADAMTS3	288253
ALX3	10803
DPY19L4	73937
DRAM2	23047
C8orf37	24289
PPEF2	42586
ADAMTSL3	385720
ART3	101623
SLC28A1	90988
WHAMM	26481
CXCL13	100082
N6AMT1	13177
RWDD2B	14966
USP16	29872
CCT8	17476
NAA11	9415
BACH1	47227
CLDN17	1241
CLDN8	2092
TSPAN7	127442
TIAM1	440665
RPGR	58347
CDK20	8340
PCGF6	48345
ANKRD9	8010
SORCS3	623953
SFXN2	28857
FUT6	9106
TDRD9	124212
FGF18	37980
PCDH1	25310
SH3RF2	126715
GDF6	18474
UQCRB	8959
PTDSS1	75094
PPP2R2B	500693
RPL30	3825
KCNS2	5896
FAM122C	47596
SUPV3L1	28860
FAM122B	27667
EEF1A1	5283
FBXO43	12467
HKDC1	47221
HK1	131883
TYSND1	8720
PHF6	55479
CD109	132234
LRFN2	195774
NODAL	16013
PRG3	4382
UBE2L6	16676
ZDHHC5	33069
MED19	8615
ZFAND3	334898
NPTN	73376
SAMD8	70468
RAB11FIP1	40880
UNC5D	561066
GLYATL2	10640
UTP14A	23642
AIFM1	36525
MAPK13	14009
BAG4	36447
MS4A1	14944
WDYHV1	25516
ATAD2	76598
FBXO32	43318
NSMCE2	275303
ZNF689	7832
PRR14	5663
FBRS	12380
FRRS1	62666
PHKG2	12878
SASS6	49361
COX6A2	630
ITGAD	33171
ZIC3	11565
VPS8	240472
GALK2	176109
LHFPL4	55462
B3GNT7	5455
MPV17L	17518
BUB1B	60128
PDE6D	48903
EIF4A2	6321
BRPF1	16287
RPUSD3	6257
SST	1483
TATDN2	32760
GHRL	7282
SEC13	20182
EXOG	30034
NTAN1	18227
NMNAT2	170144
ZFYVE9	204598
ATP2B2	295940
LYZL4	13528
SLC6A1	46516
SMG1	121552
FCHO2	134482
RBPMS	187717
TMEM171	11235
C8A	63427
TIMP4	5845
SYN2	187671
NRG1	1134804
CPT2	17374
NECAP2	19419
LRP8	85707
CDCP2	20462
PAXIP1	59435
STEAP2	25944
SSBP3	180963
HTR5A	17069
CLDN12	12494
MMP14	11174
FZD1	6894
GATAD1	12594
SUSD3	26451
TMED6	8537
CLEC18A	13282
DHRS4	15510
C1orf158	17700
CLEC18C	13109
DDX19B	45514
ST3GAL2	63124
IL34	80788
DHRS1	9183
CACNA1D	319123
KIT	82787
HYDIN	428639
AASDH	49225
ZNF19	15742
CACNA2D3	952006
RNF111	109757
CCNB2	19900
FAM81A	85370
MYO1E	240438
APPL1	45743
AFAP1L1	71779
TSC22D3	62768
DYRK1A	160286
KCNJ6	309086
KCNJ15	77432
ERG	294522
ETS2	19773
TSPAN18	205463
LCA5L	38359
SLC35B2	3790
TMEM164	181589
MX1	38657
CREB3L1	43747
C2CD2	68907
TAB3	61813
SLC38A10	50497
C9orf43	18944
ZNF618	180314
DGKI	465804
SVOPL	84761
SNX22	5751
UBN2	77000
BRAF	205593
SLC34A2	22898
ACAN	71918
PSMG3	2701
CABP1	26706
WDR19	103282
SLC37A3	64799
AP3S2	63396
FMNL2	314653
SPPL3	141849
DPYSL5	102220
RAB28	116643
TNFRSF14	9258
PANK4	18060
CIB4	60162
MEGF11	358442
C12orf43	16002
PEX10	7770
RER1	13596
RADIL	86662
SKI	81895
WIPI2	43608
LDLRAP1	25281
AGAP1	637751
KRTCAP3	4116
PAFAH2	38297
EXTL1	14690
SLC30A2	8867
TRIM63	16331
WDR66	85328
MRPL17	2956
DUSP2	2272
GRHL3	45126
UBXN11	35984
NLRP14	51058
PTPDC1	79041
GALNT14	227974
NCK1	89399
HPD	49085
RHPN1	15346
TPRG1L	5113
LRRC43	35753
XDH	80422
XKR8	8121
CNNM4	50973
EYA3	118294
DZIP1L	53619
TMSB15A	3058
FANCC	218656
MRAS	57888
WASF2	85945
ABHD3	53874
ESYT3	47071
FAIM	24606
CLSTN2	642213
COLEC12	183965
RNF207	15181
CUL4B	51241
GPR153	13746
SLC13A3	126658
GPRASP2	5558
RHBDL2	56024
AUTS2	1195032
SHROOM4	222403
CDC25C	53091
MITD1	11799
EIF5B	63938
RIBC1	8264
TMSB15B	55530
KCNB1	118792
TSPAN33	24829
NRG2	196521
AHCYL2	205182
B4GALT5	80934
CD1D	6867
CD1A	9934
SPATA2	12139
CD1C	4852
CD1B	3577
DNAH3	226330
CD1E	3858
HMHB1	8556
CPA2	22936
NCF1	15412
CPA5	23916
TSR2	7658
PPP1R9A	388807
ZC3H18	61562
ZFAND2B	2868
POM121L2	3170
GDPD5	91302
DYNC1I1	337817
PFKFB1	65401
ALAS2	21923
TMED4	4338
PPP1R15B	8454
COPG2	207510
PAGE5	3763
PKD1L1	173839
ZSCAN12	15010
TAGLN2	7397
ELK4	24069
SLAMF8	10620
SLC45A3	22659
DUSP23	1582
RNF166	9908
NBL1	15227
HTR6	16092
ITLN2	9785
F11R	25942
USF1	6727
PLA2G2F	11059
SPATA2L	5349
NIT1	7341
DEDD	11712
ZNF276	19924
NPM2	12764
EDA	423366
FGF17	6057
VWA5B1	68644
CDA	29807
PINK1	18054
B4GALT3	6659
ADAMTS4	14753
FAM160B2	15762
NDUFS2	15081
SLC5A11	65766
FCER1G	3951
APOA2	1337
TOMM40L	4808
MPZ	5234
WFDC8	28133
WNT9B	35156
CACHD1	222925
CDC42SE2	130682
RAPGEF6	211309
EPB41	232956
ALG8	38712
FBXW5	4304
SYNJ1	99283
IFNAR2	35727
MRPL10	8270
IFNGR2	34627
GART	38961
SON	34477
DONSON	11134
SV2A	14527
LAD1	18492
STC1	12878
TNNI1	17947
CSRP1	23594
HOXB13	3987
C1QC	4476
KCNE2	7118
RCAN1	98673
UBE2Z	20650
SNF8	15527
CLIC6	49229
CCDC24	4933
RUNX1	261498
IGF2BP1	58761
GIP	10043
CBR1	3141
CBR3	11484
GJD2	3967
ACTC1	5320
MORC3	56458
CHAF1B	33624
CLDN14	115949
SIM2	50804
HLCS	241585
GOLGA6A	12694
SCUBE1	146093
ARHGAP27	36396
ADPGK	32465
PTMS	4590
PLA2G4D	27554
PADI4	55808
ADIPOR1	17748
CYB5R1	5385
PSMD4	12727
ATP13A2	25971
PSMB4	2365
IRX6	6554
BTG2	4084
HK2	59233
C1R	57519
CELF3	16746
ALDH4A1	31370
THEM4	38646
TCHH	9138
LCE2B	1275
UBR1	163142
AMFR	64094
MED8	5884
TGM7	25985
RGL4	8316
SPRR2G	1309
PGLYRP3	12857
ISL2	5703
RSPRY1	54141
CCDC17	4011
GPBP1L1	59230
NAE1	28099
TMEM69	6256
ACE	21313
TEPP	11682
UROC1	36608
SPON2	42031
CHCHD6	256181
CTBP1	37686
LRRC36	58390
TPPP3	3690
ZDHHC1	22326
ATP6V0D1	43139
AGRP	977
ZFYVE28	149049
C16orf86	1942
PIP	7663
FAM131B	28905
RGS12	125767
PSKH1	36423
ZYX	9767
ABR	226258
LYPD5	24730
CCDC117	16628
ZNF230	10968
CCDC107	3220
ZNF222	7770
NPR2	17323
ZNF221	16378
ZNF233	15438
ZNF235	18678
GNE	62616
TNFRSF13C	1786
OR3A3	966
PTGIR	4622
CALM3	9709
DFFA	16008
CCDC28B	5005
IQCC	3012
BSDC1	29809
ZBTB8A	66515
ATAD3B	26084
SSU72	33191
UBE2J2	19943
ZNF362	44228
FNDC5	10217
CPAMD8	133859
NR2F6	13458
ANKLE1	5746
CCDC58	23641
VMA21	12770
KALRN	631645
CILP2	8395
ABCG1	97556
TFF3	3930
TFF2	4638
TFF1	4254
TMPRSS3	24216
UBASH3A	43784
RSPH1	23739
SLC37A1	81805
PDE9A	121889
WDR4	36504
NDUFV3	19991
PKNOX1	59422
CBS	23671
U2AF1	14623
CRYAA	3798
HSF2BP	130304
RRP1B	36520
PDXK	43171
G6PD	16179
CSTB	2711
RRP1	15717
AGPAT3	122370
TRAPPC10	94244
GAB3	75827
ICOSLG	17953
AIRE	12773
LRRC3	6687
ITGB2	42863
RALGDS	51489
FTCD	19318
LSS	40379
VAV2	230431
MCM3AP	50479
C21orf58	22770
PCNT	121613
DIP2A	112278
S100B	6479
PRMT2	29530
CLDND2	1906
ZNF208	71178
ADAMTS13	37406
SLC2A6	8006
ZNF761	26279
FCN2	6714
C9orf116	4689
LCN1	5101
ZNF714	42889
GPSM1	32059
HIPK4	10911
TOR2A	3771
ST6GALNAC6	20028
SHKBP1	14525
RDH13	25205
ZER1	42142
ZDHHC12	3255
PKN3	18414
SPTBN4	109463
BRSK1	28566
COX6B2	5016
TMEM190	1421
NLRP4	45316
TAOK1	160979
MED27	219756
DEDD2	21537
SIK3	255019
MPZL3	25676
NEK8	14668
TLCD1	2584
PCSK7	27737
SAFB	45396
CD3G	9439
S100A1	3606
CXCR5	13896
ZBTB7B	15896
FLAD1	9768
SHC1	12079
VPS11	14226
NLRX1	15683
ADAR	45941
IL6R	64108
UBE2Q1	10086
CHRNB2	12236
CRTC2	10938
ANO10	325269
FDPS	11919
RUSC1	10221
FAM189B	8279
PAQR6	4797
PMF1	27090
SLC25A44	18865
LMNA	55321
CCR5	6065
NBEAL2	30036
CCDC12	60281
PTH1R	26079
UBQLN4	18500
MYL3	5573
GPATCH4	7180
FCRL3	24289
AZGP1	9302
FGFR4	11230
CYP3A4	27218
CYP3A7	30161
NACC1	22884
CYP11B1	7464
HK3	18478
LY6K	5017
IER2	4501
ZNF394	13790
CPSF4	18438
LY6E	3926
VPS28	4963
PTGER1	2889
RECQL4	6544
LRRC14	7181
ZNF333	43695
PPP1R16A	24140
FOXH1	2438
ORAI2	23292
ALKBH4	8626
CCDC105	12551
SH2B2	33747
SQSTM1	31686
MGAT4B	9257
RPL8	2622
MAML1	44462
PGLYRP2	10857
LRWD1	8286
FBXL13	261936
NAPEPLD	49524
SCGB3A1	1395
PSMC2	21753
CELF5	72416
YDJC	1934
CCDC116	4570
DVL3	18238
AP2M1	9246
ABCF3	7933
PCYT1A	53359
FBXO27	8529
DMKN	16430
U2AF1L4	2955
BDH1	63541
NPHS1	26622
THAP8	19778
COX7A1	1526
ZNF382	28802
LRRC56	17386
PLXDC1	88325
PGAP3	16949
IKZF3	106595
GRIN2C	17847
FDXR	10501
SAP30BP	40947
ACOX1	37660
PRPSAP1	44439
CYGB	10354
ZNF577	33970
TMEM143	31585
TBC1D3G	10876
KLHL10	12684
CCDC155	29742
HCRT	1393
ALDH16A1	17826
DCD	3777
ITGA5	24006
SIGLEC11	12188
ZNF385A	22163
MPP3	32396
CD300LG	16464
NAGS	4447
LSM12	32953
ASB16	8381
JOSD2	5359
SHANK1	60548
FAM171A2	10639
DBF4B	43600
PLCD3	23556
FMNL3	70907
AQP5	3811
RACGAP1	36396
OR7G1	936
LARP4	79197
GRASP	8944
RAVER1	17318
KRT84	7841
KRT82	12442
SYCE2	20508
SPC24	10319
IP6K3	25320
LEMD2	17918
ALOX15	10760
TREML1	5090
ZNF653	22411
MED11	2180
CXCL16	6396
BCL6B	6595
ASGR2	13490
TNFSF13	3317
SENP3	10052
FGF11	5426
EIF4A1	6182
RPL26	5678
CCDC42	14902
POLR3K	7202
SNRNP25	3842
WDR90	18466
JMJD8	2665
CCDC78	3862
SSTR5	8699
SPSB3	5860
HS3ST6	6941
CCNF	29408
TBC1D24	30604
AMDHD2	11047
NTN3	2849
PAQR4	4137
FLYWCH2	16188
ZG16B	2113
ZNF75A	13171
ADCY9	153790
SHANK2	621882
CLPB	149037
NEU3	22264
ASRGL1	55965
GNG3	1526
UBXN1	2620
TTC9C	10564
TAF6L	15947
NXF1	13311
STX5	25192
SLC25A45	8510
RPL29	2374
ITIH3	14242
SYVN1	7240
ZFPL1	4177
RPS6KA4	13054
LRP5	136685
TPCN2	41666
FGF19	5785
CYP4A22	12287
PDZK1IP1	6455
TAL1	16046
CMPK1	45050
BEND5	49447
ELAVL4	155718
ZYG11B	100884
SLC1A7	55456
MAGOH	11619
ACOT11	90965
FAM151A	14345
PARS2	7626
BSND	18240
USP24	149006
NOL9	33167
PRKAA2	70022
KLHL21	12146
ZSWIM5	190207
GMEB1	50570
SLC45A1	26083
JAK1	234518
RAVER2	88260
CTRC	10799
LZIC	21274
RBP7	18794
KNCN	6020
FBLIM1	29952
TMEM82	5484
SLC25A34	5135
AKR7A3	6198
PDPN	34201
DHRS3	50278
MATN1	12309
LAPTM5	25306
SDC3	39293
PEF1	15011
SYNC	22865
RBBP4	35004
KIAA1522	33141
TSSK3	1774
TMCO4	117704
UBXN10	9955
CAMK2N1	3820
ALPL	69427
WNT4	25785
TTLL10	24057
SCNN1D	11590
MXRA8	10853
MEGF6	123558
CCDC27	19196
IL23R	93526
DIRAS3	5746
C1orf87	83377
NFIA	385562
OMA1	66008
MYSM1	45320
TM2D1	44096
USP1	15501
FUBP1	30803
NEXN	55381
DNAJB4	38807
LRRIQ3	172162
TYW3	33526
LHX8	33100
SNX7	98780
B3GALT2	7884
NTNG1	344836
FAM102B	79223
AKNAD1	41194
C1orf52	9710
WDR63	70841
GBP2	19983
ATXN7L2	8900
GBP4	17799
ZNF326	40424
HFM1	144072
GFI1	13883
KCNT2	382662
AGL	73660
VCAM1	19406
EXTL2	22808
